x_name,window,sky,plants,brick,holes,gate,sign
1130_2.jpg,1130_2_window.png,1130_2_sky.png,1130_2_plants.png,1130_2_brick.png,1130_2_holes.png,NAN,NAN
20200104_130511.jpg,20200104_130511_window.png,20200104_130511_sky.png,20200104_130511_plants.png,20200104_130511_brick.png,20200104_130511_holes.png,NAN,20200104_130511_sign.png
6.jpg,6_window.png,6_sky.png,6_plants.png,6_brick.png,6_holes.png,6_gate.png,6_sign.png
animage (26).jpg,animage (26)_window.png,animage (26)_sky.png,animage (26)_plants.png,animage (26)_brick.png,animage (26)_holes.png,animage (26)_gate.png,NAN
animage (29).jpg,animage (29)_window.png,animage (29)_sky.png,animage (29)_plants.png,animage (29)_brick.png,animage (29)_holes.png,NAN,NAN
animage (3).jpg,animage (3)_window.png,animage (3)_sky.png,animage (3)_plants.png,animage (3)_brick.png,animage (3)_holes.png,animage (3)_gate.png,animage (3)_sign.png
animage (32).jpg,animage (32)_window.png,animage (32)_sky.png,NAN,animage (32)_brick.png,animage (32)_holes.png,NAN,animage (32)_sign.png
animage (35).jpg,animage (35)_window.png,animage (35)_sky.png,animage (35)_plants.png,animage (35)_brick.png,animage (35)_holes.png,NAN,NAN
animage (38).jpg,NAN,animage (38)_sky.png,animage (38)_plants.png,animage (38)_brick.png,NAN,NAN,NAN
animage (6).jpg,animage (6)_window.png,animage (6)_sky.png,animage (6)_plants.png,animage (6)_brick.png,animage (6)_holes.png,animage (6)_gate.png,NAN
bothwell-11-07-2019.jpg,bothwell-11-07-2019_window.png,bothwell-11-07-2019_sky.png,bothwell-11-07-2019_plants.png,bothwell-11-07-2019_brick.png,bothwell-11-07-2019_holes.png,NAN,NAN
bothwell-17-07-2019.jpg,bothwell-17-07-2019_window.png,bothwell-17-07-2019_sky.png,bothwell-17-07-2019_plants.png,bothwell-17-07-2019_brick.png,bothwell-17-07-2019_holes.png,bothwell-17-07-2019_gate.png,bothwell-17-07-2019_sign.png
bothwell1-14-8-2019.jpeg,bothwell1-14-8-2019_window.png,bothwell1-14-8-2019_sky.png,bothwell1-14-8-2019_plants.png,bothwell1-14-8-2019_brick.png,bothwell1-14-8-2019_holes.png,bothwell1-14-8-2019_gate.png,bothwell1-14-8-2019_sign.png
bothwell2-18-07-2019.jpeg,bothwell2-18-07-2019_window.png,bothwell2-18-07-2019_sky.png,bothwell2-18-07-2019_plants.png,bothwell2-18-07-2019_brick.png,NAN,NAN,NAN
bothwell4-14-8-2019.jpeg,bothwell4-14-8-2019_window.png,bothwell4-14-8-2019_sky.png,bothwell4-14-8-2019_plants.png,bothwell4-14-8-2019_brick.png,bothwell4-14-8-2019_holes.png,NAN,NAN
WhatsApp Image 2019-08-28 at 15.15.49.jpeg,WhatsApp Image 2019-08-28 at 15.15.49_window.png,WhatsApp Image 2019-08-28 at 15.15.49_sky.png,WhatsApp Image 2019-08-28 at 15.15.49_plants.png,WhatsApp Image 2019-08-28 at 15.15.49_brick.png,WhatsApp Image 2019-08-28 at 15.15.49_holes.png,WhatsApp Image 2019-08-28 at 15.15.49_gate.png,WhatsApp Image 2019-08-28 at 15.15.49_sign.png
WhatsApp Image 2019-09-08 at 14.07.58.jpeg,WhatsApp Image 2019-09-08 at 14.07.58_window.png,WhatsApp Image 2019-09-08 at 14.07.58_sky.png,WhatsApp Image 2019-09-08 at 14.07.58_plants.png,WhatsApp Image 2019-09-08 at 14.07.58_brick.png,WhatsApp Image 2019-09-08 at 14.07.58_holes.png,WhatsApp Image 2019-09-08 at 14.07.58_gate.png,WhatsApp Image 2019-09-08 at 14.07.58_sign.png
WhatsApp Image 2019-10-05 at 10.44.07.jpeg,WhatsApp Image 2019-10-05 at 10.44.07_window.png,NAN,NAN,WhatsApp Image 2019-10-05 at 10.44.07_brick.png,NAN,NAN,NAN
WhatsApp Image 2019-10-05 at 15.21.03(1).jpeg,WhatsApp Image 2019-10-05 at 15.21.03(1)_window.png,WhatsApp Image 2019-10-05 at 15.21.03(1)_sky.png,WhatsApp Image 2019-10-05 at 15.21.03(1)_plants.png,WhatsApp Image 2019-10-05 at 15.21.03(1)_brick.png,WhatsApp Image 2019-10-05 at 15.21.03(1)_holes.png,WhatsApp Image 2019-10-05 at 15.21.03(1)_gate.png,WhatsApp Image 2019-10-05 at 15.21.03(1)_sign.png
WhatsApp Image 2019-10-23 at 11.41.42.jpeg,WhatsApp Image 2019-10-23 at 11.41.42_window.png,WhatsApp Image 2019-10-23 at 11.41.42_sky.png,WhatsApp Image 2019-10-23 at 11.41.42_plants.png,WhatsApp Image 2019-10-23 at 11.41.42_brick.png,WhatsApp Image 2019-10-23 at 11.41.42_holes.png,NAN,NAN
